Data Source,Link,Description,How NourishNet uses this data source,Added By,
Feeding America – Map the Meal Gap,https://map.feedingamerica.org,"Provides county level food insecurity rates, number of food-insecure individuals, and meal gap estimates across the U.S. students can use this data to identify high need areas and connect chatbot users to resource",NourishNet uses this to identify the high priority regions with food insecurty.,Eid,
Maryland open data portal,https://opendata.maryland.gov,"Statewide datasets including demographics, schools, community resources, and environmental data that can support chatbot responses related to food access",These datasets used for regional analysis and to identify community facilities and infrastructure used in GIS-based food access mapping.,Eid,
DC open data portal,https://opendata.dc.gov/,"Contains datasets on community resources, food assistance programs, demographics, and public services in Washington DC. Useful for DMV regional coverage","Used this datsset to find regional infrastructure for food divergance pathways such as to find the food distribution sites, etc. ",Eid,
Virginia open data portal,https://data.virginia.gov/,"Includes datasets related to community services, public programs, and regional infrastructure in Virginia. Students can use this to build DMV-wide food access solutions",uses this portal as a resource for accessing datasets related to food access,Eid,
Prince George’s County open data portal,https://data.princegeorgescountymd.gov/,"Includes local datasets such as schools, public facilities, community resources, and neighborhood statistics useful for NourishNet regional analysis",Used for the development of GIS map for PG county,Eid,
Capital Area Food Bank Heat Map,https://www.capitalareafoodbank.org/,"Interactive map showing food insecurity levels, distribution partners, and priority areas served by the CAFB across the DMV region",Used the CAFB interactive map to locate food distribution centers in DMV aera,Eid,
Maryland Food Bank Hunger Map,https://mdfoodbank.org/hunger-in-maryland,"Provides county-level and regional data on hunger, food insecurity, and food distribution in Maryland. Useful for identifying communities with higher need",This dataset used to locate food assistance providers and food pantries accross DMV aera. ,Eid,
Maryland Food Insecurity Map,https://mda.maryland.gov/,"Interactive map developed by the Maryland Food Bank showing food insecurity levels across Maryland counties. It includes statistics on households experiencing food insecurity, poverty indicators, and regional hunger trends.",to locate the food pantries in DMV aera ,Eid,>> Thorough Data Set 
USDA Food Environment Atlas,https://www.ers.usda.gov/data-products/food-environment-atlas,"Provides data on food availability, health indicators, food assistance participation, and local food systems. Useful for analyzing broader food system conditions.",Used for GIS analysis and evaluate food access conditions in regions such as Prince George’s County.,Eid,
US Census Bureau – American Community Survey,https://data.census.gov/,"Provides demographic, income, poverty, and housing data that can help identify communities vulnerable to food insecurity.",This dataset used as a resource for demographic and socioeconomic analysis related to food insecurity and community vulnerability.,Eid,
Food Access Resources – UMD Extension,https://extension.umd.edu/resource/food-access-resources/,"Resource directory maintained by the University of Maryland that lists food access programs, food pantries, SNAP resources, and community support services across Maryland",NourishNet uses this resource directory to identify food access programs and gather supporting data sources related to food assistance services,Eid,
EPA Excess Food Opportunities Map,https://www.epa.gov/sustainable-management-food/excess-food-opportunities-map,Interactive map showinmg the food recovery organizations composting ficilities and anarobic digestion infrastructure accross the US. ,NourishNet uses this dataset to identify food recovery infrastructure and estimate environmental impacts associated with different food waste diversion pathways,Eid,
Maryland Community Business Compass,https://compass.maryland.gov/map/,,,Radha,
PG County Healthy food priority areas,https://princegeorges.maps.arcgis.com/apps/dashboards/9f9202c51cc345ab9e0e1aa21a23bb76,,,Radha,
PG County Food equity council,https://pgcfec.org/resources/find-food-food-pantry-listings/,,,Radha,
Food pantry 1,https://msa.maryland.gov/megafile/msa/speccol/sc5300/sc5339/000113/014000/014769/unrestricted/20120605e-021.pdf,,,,
Food pantry 2,https://mdfoodbank.org/find-food/#more,,,,
Food pantry 3,https://search.211md.org/search?query=food+pantry&query_label=food+pantry&query_type=text,,,,
Food pantry 4,"https://www.hclhic.org/Content/Upload/page/f8bb951b-b863-426b-ae3f-57d0d820d48a.pdf
",,,,
Food pantry 5,https://kofc-md.org/wp-content/uploads/2019/06/food-pantries-in-mdpdf-1.pdf,,,,
Food pantry 6,https://mocofoodcouncil.org/map/,,,,
List of all the food pantries,https://carolinebettertogether.org/food-pantries,,We use this data to find the nearest food pantries based on location. ,Lochan,
Lanfills,https://www.epa.gov/lmop/landfill-technical-data,,"We need to decide if the food needs to be donated or it has to be diverted based on the distance, cost and CO2 emisions and etc. ",Lochan,
USDA SNAP Retailer Locator,https://usda-fns.maps.arcgis.com/apps/webappviewer/index.html?id=15e1c457b56c4a729861d015cd626a23,,,Radha,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,.,,